strain	location
USA/WA-UW292/2020	Skagit County
USA/WA-UW321/2020	Snohomish County
USA/WA-UW294/2020	Snohomish County
USA/WA-UW293/2020	King County
USA/WA-UW287/2020	King County
USA/WA-UW288/2020	Snohomish County
USA/WA-S588/2020	King County
USA/WA-S589/2020	King County
USA/WA-S590/2020	King County
USA/WA-S591/2020	King County
USA/WA-S592/2020	King County
USA/WA-S593/2020	King County
USA/WA-S594/2020	King County
USA/WA-S595/2020	King County
USA/WA-S598/2020	King County
USA/WA-S600/2020	King County
USA/WA-S604/2020	King County
USA/WA-S605/2020	King County
USA/WA-S606/2020	King County
USA/WA-S607/2020	King County
USA/WA-S608/2020	King County
USA/WA-S615/2020	King County
USA/WA-S616/2020	King County
USA/WA-S617/2020	King County
USA/WA-S618/2020	King County
USA/WA-S619/2020	King County
USA/WA-S620/2020	King County
USA/WA-S621/2020	King County
USA/WA-S622/2020	King County
USA/WA2/2020	Snohomish County
USA/WA-S10/2020	King County
USA/WA-S110/2020	King County
USA/WA-S111/2020	King County
USA/WA-S11/2020	King County
USA/WA-S112/2020	King County
USA/WA-S2/2020	King County
USA/WA-S259/2020	King County
USA/WA-S260/2020	King County
USA/WA-S263/2020	King County
USA/WA-S264/2020	King County
USA/WA-S265/2020	Snohomish County
USA/WA-S266/2020	King County
USA/WA-S267/2020	King County
USA/WA-S268/2020	King County
USA/WA-S269/2020	King County
USA/WA-S270/2020	King County
USA/WA-S271/2020	King County
USA/WA-S272/2020	King County
USA/WA-S273/2020	King County
USA/WA-S274/2020	King County
USA/WA-S275/2020	King County
USA/WA-S277/2020	King County
USA/WA-S279/2020	King County
USA/WA-S281/2020	King County
USA/WA-S282/2020	King County
USA/WA-S283/2020	King County
USA/WA-S284/2020	Snohomish County
USA/WA-S285/2020	King County
USA/WA-S286/2020	Pierce County
USA/WA-S287/2020	King County
USA/WA-S288/2020	King County
USA/WA-S289/2020	King County
USA/WA-S290/2020	King County
USA/WA-S292/2020	King County
USA/WA-S294/2020	King County
USA/WA-S295/2020	King County
USA/WA-S296/2020	King County
USA/WA-S297/2020	King County
USA/WA-S298/2020	King County
USA/WA-S299/2020	King County
USA/WA-S300/2020	King County
USA/WA-S301/2020	Pierce County
USA/WA-S302/2020	King County
USA/WA-S5/2020	King County
USA/WA-S6/2020	King County
USA/WA-S8/2020	King County
